Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1678251218.2565694,1,1678251218,239540338,IMU1_Frame,0,0,0,,0.07281517450604963,0.07185497564871414,0.7521142483378532,0.6510445225046918,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.099562,0.449566,-0.01435,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.708,-1.997,-10.396,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2964,-0.3648,0.4811,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.146,-000.915,+011.708,+00.2964,-00.3648,+00.4811,+02.708,-01.997,-10.396,-00.099562,+00.449566,-00.014357*6D\r\n'"
1678251218.2783892,2,1678251218,264240980,IMU1_Frame,0,0,0,,0.06510013611088868,0.07528496806581567,0.7524335256729293,0.6511051645510717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.143034,0.669044,-0.10755,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.978,-1.757,-9.158,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2059,-0.4362,0.5268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.259,+000.004,+011.424,+00.2059,-00.4362,+00.5268,+01.978,-01.757,-09.158,-00.143034,+00.669044,-00.107555*68\r\n'"
1678251218.3046412,3,1678251218,289256095,IMU1_Frame,0,0,0,,0.06008467359521602,0.07922291930679856,0.7518241194770802,0.651823637518599,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.133937,0.28834,-0.14886,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.799,-1.046,-7.391,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1235,-0.4731,0.5481,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.224,+000.741,+011.389,+00.1235,-00.4731,+00.5481,+01.799,-01.046,-07.391,+00.133937,+00.288340,-00.148864*60\r\n'"
1678251218.3282516,4,1678251218,314250707,IMU1_Frame,0,0,0,,0.06471411758272727,0.0822742019318215,0.7506928104333895,0.6523061727790025,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.451527,-0.350023,-0.0233,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.662,-1.248,-7.942,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.066,-0.4807,0.5761,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.084,+000.583,+012.003,+00.0660,-00.4807,+00.5761,+01.662,-01.248,-07.942,+00.451527,-00.350023,-00.023304*60\r\n'"
1678251218.3547208,5,1678251218,339284658,IMU1_Frame,0,0,0,,0.0701328578629498,0.08436673844555596,0.7495059985035563,0.6528433149686238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.27529,-0.079964,-0.10149,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.833,-1.248,-10.548,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0278,-0.4809,0.6019,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.918,+000.288,+012.594,+00.0278,-00.4809,+00.6019,+00.833,-01.248,-10.548,+00.275290,-00.079964,-00.101495*60\r\n'"
1678251218.3783104,6,1678251218,364279270,IMU1_Frame,0,0,0,,0.07133476394240641,0.08616409694665923,0.7486665217843804,0.6534413049463017,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.249205,-0.015115,-0.08563,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.23,-1.232,-9.578,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0072,-0.4789,0.6087,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.808,+000.332,+012.841,-00.0072,-00.4789,+00.6087,+00.230,-01.232,-09.578,+00.249205,-00.015115,-00.085631*62\r\n'"
1678251218.404613,7,1678251218,389280080,IMU1_Frame,0,0,0,,0.08087514779874003,0.08919967901373166,0.7467726075105203,0.6540896730604431,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.915526,-0.68672,0.00591,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.59,-1.772,-9.283,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0274,-0.4762,0.6336,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.542,-000.235,+013.829,-00.0274,-00.4762,+00.6336,-00.590,-01.772,-09.283,+00.915526,-00.686720,+00.005917*62\r\n'"
1678251218.447413,8,1678251218,414193868,IMU1_Frame,0,0,0,,0.09147055663772657,0.09250163999633146,0.7446947901708453,0.654603890424411,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.288901,-0.103972,-0.07193,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.288,-2.954,-10.84,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0401,-0.467,0.6485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.254,-000.867,+014.925,-00.0401,-00.4670,+00.6485,-01.288,-02.954,-10.840,+00.288901,-00.103972,-00.071932*60\r\n'"
1678251218.4953854,9,1678251218,439198970,IMU1_Frame,0,0,0,,0.08556973271763024,0.09212362213701994,0.7433724838244574,0.6569538867984919,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.457181,0.312296,-0.21049,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.414,-0.898,-8.757,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0667,-0.4731,0.6644,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.018,-000.354,+014.442,-00.0667,-00.4731,+00.6644,-01.414,-00.898,-08.757,-00.457181,+00.312296,-00.210498*6B\r\n'"
1678251218.495462,10,1678251218,464083433,IMU1_Frame,0,0,0,,0.08780677229250215,0.08857015280549177,0.745451452839933,0.654788080397328,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.299318,-0.703643,0.46431,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.521,-1.709,-9.702,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0988,-0.4845,0.6841,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.302,-000.855,+014.304,-00.0988,-00.4845,+00.6841,-02.521,-01.709,-09.702,+00.299318,-00.703643,+00.464311*6D\r\n'"
